sentenceID,sentenceType,m1,word,m1_relatedness,m2_relatedness,m1_trigram,m2_trigram,unigram
22,pun,sperm,either,-0.686619962,-0.686796655,8.01E-05,8.01E-05,0.000217281
22,pun,sperm,x,-0.488115664,-1.020847887,2.09E-05,2.09E-05,5.29E-05
22,pun,sperm,y,0.630654036,-0.553105246,0.221515,0.221515,3.07E-05
22,pun,sperm,chromosome,1.240840569,-0.698370281,2.63E-06,2.63E-06,3.57E-06
22,pun,sperm,father,1.214549809,-0.828776304,0.000640227,0.000640227,0.000182887
22,pun,sperm,chooses,-0.782835074,-0.649524509,1.22E-06,1.22E-06,4.79E-06
22,pun,sperm,sex,1.793568014,0.994719349,7.33E-05,7.33E-05,6.60E-05
22,pun,sperm,child,1.20202566,-0.695449385,0.000438705,0.000438705,0.000189301
22,pun,sperm,just,-0.705919562,-0.960892804,0.0136544,0.0136544,0.00101403
22,pun,sperm,moment,-0.456345808,1.80293771,0.000534063,0.000534063,0.000167247
22,pun,sperm,decision,-0.340387368,-0.151593384,4.01E-06,4.01E-06,0.000133243
23,pun,grime,grime,0,0,1.73E-07,0.000589605,9.59E-07
23,pun,grime,children,-0.248805238,-0.807717991,0.00102898,0.00102898,0.000367204
23,pun,grime,eat,-0.463720998,-0.777888144,0.00265646,0.00265646,5.87E-05
23,pun,grime,washing,0.855460814,-1.022932402,0.000134518,0.000134518,2.05E-05
23,pun,grime,hands,0.02573075,-0.192807897,0.282159,0.282159,0.000143745
24,pun,epoch,epoch,0,0,3.15E-07,1.20E-08,1.39E-06
24,pun,epoch,grandparents,-0.140462652,-0.696201398,3.00E-07,3.00E-07,4.45E-06
24,pun,epoch,faces,-0.871854252,0.090758841,3.42E-05,3.42E-05,3.58E-05
24,pun,epoch,full,-0.531953874,-0.489234324,0.000885939,0.000885939,0.000226792
24,pun,epoch,marks,-0.765084941,1.235380646,2.47E-05,0.412343,3.51E-05
25,pun,bonus,bonus,0,0,7.13E-06,8.96E-05,1.11E-05
25,pun,bonus,labored,0.230826751,-0.618125366,1.99E-05,1.99E-05,2.44E-08
25,pun,bonus,hard,-0.605434133,0.961548028,0.00275891,0.00275891,0.000179481
25,pun,bonus,worked,0.085690978,0.160513752,0.000743532,0.000743532,9.96E-05
25,pun,bonus,fingers,-1.042123439,1.111863269,0.000418514,0.000418514,4.40E-05
26,pun,hobbit,hobbit,0,0,1.46E-08,0.00974639,4.71E-07
26,pun,hobbit,keep,-0.657583393,0.253686122,3.02E-05,3.02E-05,0.000216663
26,pun,hobbit,reading,1.472241225,0.019289278,0.000565856,0.000565856,8.60E-05
26,pun,hobbit,the,0.171521965,-1.006811246,0.0283555,0.0283555,0.048626868
26,pun,hobbit,lord,0.082779547,-0.696696471,3.55E-05,3.55E-05,0.000127756
26,pun,hobbit,rings,0.943917597,-0.566546575,2.35E-05,2.35E-05,1.24E-05
26,pun,hobbit,guess,-0.847441127,-0.91851544,0.00735817,0.00735817,2.36E-05
26,pun,hobbit,just,-0.869925117,-0.556870298,0.0124207,0.0124207,0.00101403
26,pun,hobbit,force,-0.660585383,-0.157900287,2.39E-05,2.39E-05,0.000125276
27,pun,screaming,screaming,0,0,2.55E-06,0.000419497,1.09E-05
27,pun,screaming,like,-0.89623195,-0.443944792,0.00051742,0.00051742,0.001186943
27,pun,screaming,latest,-0.768492084,-0.295271219,0.000295892,0.000295892,5.22E-05
27,pun,screaming,horror,1.020541988,0.698420014,0.000129657,0.000129657,1.62E-05
27,pun,screaming,movie,0.240603017,1.034326306,0.00946177,0.00946177,1.44E-05
27,pun,screaming,i've,-0.83289257,-0.90658766,2.20E-07,2.20E-07,4.55E-07
27,pun,screaming,arranged,-0.647822954,-0.404895972,4.59E-05,4.59E-05,3.19E-05
27,pun,screaming,private,-0.851442379,0.524680304,0.000404432,0.000404432,0.000141518
28,pun,ohms,ohms,0,0,2.61E-06,0.0576145,6.18E-07
28,pun,ohms,like,-0.961631853,-0.768492084,0.00051742,0.00051742,0.001186943
28,pun,ohms,stay,-0.712045543,-0.916856701,0.0053027,0.0053027,9.63E-05
28,pun,ohms,current,0.58262646,-0.83483688,9.64E-06,9.64E-06,0.000114229
28,pun,ohms,electrifying,0.982098768,-0.566891594,5.15E-07,5.15E-07,6.02E-07
28,pun,ohms,adventures,-0.756463027,0.709295912,9.92E-06,9.92E-06,4.17E-06
28,pun,ohms,sherlock,-0.558142296,1.716176025,0.00439061,0.00439061,1.63E-06
29,pun,kant,kant,0,0,0.00788452,0.00115221,1.91E-06
29,pun,kant,need,-0.768492084,-0.457669333,0.000108456,0.000108456,0.00044508
29,pun,kant,philosophy,0.594760077,-0.236775461,9.38E-05,9.38E-05,2.77E-05
29,pun,kant,homework,-0.530654244,-0.346031903,1.64E-06,1.64E-06,6.49E-06
29,pun,kant,just,-0.747905517,-0.48257104,0.00139074,0.00139074,0.00101403
30,pun,tamper,tamper,0,0,1.59E-07,0.161604,4.23E-07
30,pun,tamper,barista,-0.321494003,-0.695418569,0.00340529,0.00340529,8.13E-09
30,pun,tamper,not,-0.38436228,-0.883392341,0.021206,0.021206,0.00346259
30,pun,tamper,allowed,-0.639302032,-0.675663486,0.00266571,0.00266571,0.000112798
30,pun,tamper,make,-0.022103465,-0.513919625,0.0147865,0.0147865,0.000621074
30,pun,tamper,espresso,-0.688232969,-1.010664532,2.64E-08,2.64E-08,2.03E-07
30,pun,tamper,lose,-0.42506412,0.744520944,0.00232544,0.00232544,5.06E-05
31,pun,latte,latte,0,0,0.00390153,0.00333838,8.13E-09
31,pun,latte,spend,-0.045615681,-0.281561419,0.000690856,0.000690856,5.89E-05
31,pun,latte,time,-0.947835339,1.200496854,0.023436,0.023436,0.001239318
31,pun,latte,coffee,1.838535291,-0.164915081,0.000118945,0.000118945,5.04E-05
31,pun,latte,shop,0.099673274,0.147724513,0.0493358,0.0493358,8.38E-05
31,pun,latte,you'll,-1.033399543,-0.466902009,6.78E-06,6.78E-06,1.79E-07
31,pun,latte,work,-0.262727015,0.676276652,0.00111282,0.073073,0.000718337
32,pun,libel,libel,0,0,6.23E-06,8.30E-05,6.37E-06
32,pun,libel,write,0.253432196,-0.518143508,0.00176126,0.00176126,8.56E-05
32,pun,libel,bad,0.434544881,0.213244842,8.65E-05,8.65E-05,0.000120326
32,pun,libel,things,-0.783779476,-0.674633301,0.00745375,0.00745375,0.000325892
32,pun,libel,sue,1.702812138,1.03866012,0.000210366,7.30E-05,1.88E-05
33,pun,tryst,tryst,0,0,1.07E-07,0.000232038,2.28E-07
33,pun,tryst,novel,-0.740461126,0.713492747,0.000288953,0.000288953,3.32E-05
33,pun,tryst,unexpected,-0.384531457,1.62548606,0.000580858,0.000580858,1.64E-05
33,pun,tryst,secret,0.203059995,0.264869073,1.97E-05,1.97E-05,4.47E-05
33,pun,tryst,meeting,0.283346607,-0.713061639,0.000993658,0.000993658,0.000165076
33,pun,tryst,lovers,1.09218497,-0.605937267,9.77E-06,9.77E-06,8.89E-06
33,pun,tryst,plot,-0.620082612,0.655905037,0.000262666,0.000262666,1.67E-05
34,pun,propane,propane,0,0,4.77E-08,3.76E-07,3.98E-07
34,pun,propane,inflammatory,0.524274451,0.537788401,3.36E-07,3.36E-07,5.51E-06
34,pun,propane,talk,-0.820549264,0.638659276,3.26E-05,3.26E-05,0.000130365
34,pun,propane,seen,0.298342534,-0.431107244,0.0144932,0.0144932,0.000293376
34,pun,propane,language,-0.975849504,0.813567976,7.13E-05,0.00365472,0.000150273
35,pun,leafing,leafing,0,0,4.17E-08,0.000523105,4.15E-07
35,pun,leafing,john,-0.930865719,-0.732594277,6.39E-07,6.39E-07,0.000260186
35,pun,leafing,plans,0.664976109,0.076967923,0.000112502,0.000112502,9.28E-05
35,pun,leafing,retire,-1.00566682,0.641089708,0.00319328,0.00319328,8.66E-06
35,pun,leafing,spring,0.557250604,-0.511549743,0.00124322,0.00124322,4.70E-05
35,pun,leafing,like,-0.660585383,0.082140175,0.0124801,0.0124801,0.001186943
35,pun,leafing,trees,1.209997602,-0.476044827,0.000232797,0.000232797,6.48E-05
36,pun,yams,yams,0,0,1.02E-07,1.48E-05,1.79E-07
36,pun,yams,just,-0.768492084,-0.934888345,0.000159739,0.000159739,0.00101403
36,pun,yams,time,-0.981517464,0.021541304,0.212782,0.212782,0.001239318
36,pun,yams,thanksgiving,1.212957909,-0.425702503,6.95E-08,6.95E-08,1.50E-06
36,pun,yams,blockbuster,-0.820549264,-0.872240425,9.10E-06,9.10E-06,9.02E-07
36,pun,yams,movie,-0.711983357,-0.097078622,0.0026432,0.0026432,1.44E-05
36,pun,yams,sweet,0.677385511,0.053858171,5.32E-06,5.32E-06,2.80E-05
36,pun,yams,potatoes,1.353283713,-0.268920404,0.00676358,0.00676358,1.28E-05
36,pun,yams,called,-0.773975142,-0.629178616,0.000356792,0.000356792,0.00026112
36,pun,yams,the,-0.554968549,-0.643381484,0.152051,0.152051,0.048626868
36,pun,yams,silence,-0.93384429,0.490500931,7.33E-05,7.33E-05,4.39E-05
