word1,word2,relatedness
ivan,salvation,-0.855225043
pavlov,salivation,0.539515988
pavlov,salvation,0.155029846
chronicles,salivation,-0.658279818
chronicles,salvation,-0.43002334
birth,salivation,-0.35454071
birth,salvation,0.238622737
army,salivation,0.091829622
army,salvation,0.114838662
orifice,orifice,0.0
office,orifice,0.0
dentists,orifice,0.194547375
dentists,office,1.238488039
like,orifice,-0.855225043
like,office,-0.964779109
hard,orifice,-0.497426638
hard,office,-0.360273011
day,orifice,-0.740043375
day,office,0.26177945
braille,braille,0.0
bail,braille,0.0
braille,even,-0.801476003
bail,even,-0.768492084
ashley,braille,-0.506866596
ashley,bail,-0.318165828
blind,braille,1.534468703
bail,blind,-0.999925399
braille,under,-0.9624971
bail,under,-0.794120045
arrest,braille,-0.791296213
arrest,bail,1.722882404
braille,still,-0.560659136
bail,still,-0.84409879
braille,hope,-0.622885758
bail,hope,-0.291239755
braille,out,-0.109953666
bail,out,1.523096169
sperm,sperm,0.0
sperm,spur,0.0
even,sperm,-1.09733531
even,spur,-1.025309695
contributes,sperm,-0.395011074
contributes,spur,-0.491900541
either,sperm,-0.686619962
either,spur,-0.686796655
sperm,x,-0.488115664
spur,x,-1.020847887
sperm,y,0.630654036
spur,y,-0.553105246
chromosome,sperm,1.240840569
chromosome,spur,-0.698370281
father,sperm,1.214549809
father,spur,-0.828776304
chooses,sperm,-0.782835074
chooses,spur,-0.649524509
sex,sperm,1.793568014
sex,spur,0.994719349
child,sperm,1.20202566
child,spur,-0.695449385
just,sperm,-0.705919562
just,spur,-0.960892804
moment,sperm,-0.456345808
moment,spur,1.80293771
decision,sperm,-0.340387368
decision,spur,-0.151593384
grime,grime,0.0
crime,grime,0.0
children,grime,-0.248805238
children,crime,-0.807717991
eat,grime,-0.463720998
crime,eat,-0.777888144
grime,washing,0.855460814
crime,washing,-1.022932402
grime,hands,0.02573075
crime,hands,-0.192807897
epoch,epoch,0.0
epoch,pock,0.0
epoch,grandparents,-0.140462652
grandparents,pock,-0.696201398
epoch,faces,-0.871854252
faces,pock,0.090758841
epoch,full,-0.531953874
full,pock,-0.489234324
epoch,marks,-0.765084941
marks,pock,1.235380646
bonus,bonus,0.0
bones,bonus,0.0
bonus,labored,0.230826751
bones,labored,-0.618125366
bonus,hard,-0.605434133
bones,hard,0.961548028
bonus,worked,0.085690978
bones,worked,0.160513752
bonus,fingers,-1.042123439
bones,fingers,1.111863269
hobbit,hobbit,0.0
habit,hobbit,0.0
hobbit,keep,-0.657583393
habit,keep,0.253686122
hobbit,reading,1.472241225
habit,reading,0.019289278
hobbit,the,0.171521965
habit,the,-1.006811246
hobbit,lord,0.082779547
habit,lord,-0.696696471
hobbit,rings,0.943917597
habit,rings,-0.566546575
guess,hobbit,-0.847441127
guess,habit,-0.91851544
hobbit,just,-0.869925117
habit,just,-0.556870298
force,hobbit,-0.660585383
force,habit,-0.157900287
screaming,screaming,0.0
screaming,screening,0.0
like,screaming,-0.89623195
like,screening,-0.443944792
latest,screaming,-0.768492084
latest,screening,-0.295271219
horror,screaming,1.020541988
horror,screening,0.698420014
movie,screaming,0.240603017
movie,screening,1.034326306
i've,screaming,-0.83289257
i've,screening,-0.90658766
arranged,screaming,-0.647822954
arranged,screening,-0.404895972
private,screaming,-0.851442379
private,screening,0.524680304
ohms,ohms,0.0
Holmes,ohms,0.0
like,ohms,-0.961631853
Holmes,like,-0.768492084
ohms,stay,-0.712045543
Holmes,stay,-0.916856701
current,ohms,0.58262646
Holmes,current,-0.83483688
electrifying,ohms,0.982098768
Holmes,electrifying,-0.566891594
adventures,ohms,-0.756463027
Holmes,adventures,0.709295912
ohms,sherlock,-0.558142296
Holmes,sherlock,1.716176025
kant,kant,0.0
can't,kant,0.0
kant,need,-0.768492084
can't,need,-0.457669333
kant,philosophy,0.594760077
can't,philosophy,-0.236775461
homework,kant,-0.530654244
can't,homework,-0.346031903
just,kant,-0.747905517
can't,just,-0.48257104
tamper,tamper,0.0
tamper,temper,0.0
barista,tamper,-0.321494003
barista,temper,-0.695418569
not,tamper,-0.38436228
not,temper,-0.883392341
allowed,tamper,-0.639302032
allowed,temper,-0.675663486
make,tamper,-0.022103465
make,temper,-0.513919625
espresso,tamper,-0.688232969
espresso,temper,-1.010664532
lose,tamper,-0.42506412
lose,temper,0.744520944
latte,latte,0.0
late,latte,0.0
latte,spend,-0.045615681
late,spend,-0.281561419
latte,time,-0.947835339
